Temp,Humidity,CO,smoke,RESULT
36,54,0,300,critical
38,61,0,320,critical
26,52,0,323,no
28,59,0,588,mild
35,61,0,557,severe
39,68,0,286,critical
35,61,0,318,severe
38,61,0,468,critical
25,60,0,478,no
29,71,0,405,mild
32,62,0,443,severe
27,52,0,596,no
36,75,0,395,critical
38,77,0,492,critical
26,57,0,340,no
40,56,0,500,critical
39,72,0,239,critical
27,69,0,274,no
35,58,0,401,severe
30,53,0,474,no
37,58,0,589,critical
39,57,0,220,critical
34,69,0,351,severe
40,66,0,291,critical
37,74,0,308,critical
40,67,0,313,critical
40,67,0,476,critical
33,71,0,247,severe
28,76,0,396,mild
29,57,0,357,mild
39,57,0,232,critical
36,72,0,586,critical
39,53,0,377,critical
39,78,0,201,critical
27,66,0,597,no
36,71,0,572,critical
26,66,0,320,no
29,62,0,307,mild
39,51,0,220,critical
39,54,0,541,critical
27,53,0,371,no
29,64,0,258,mild
32,56,0,572,severe
33,68,0,404,severe
28,73,0,591,mild
34,72,0,495,severe
34,62,0,211,severe
35,57,0,202,severe
36,61,0,535,critical
34,67,0,397,severe
31,58,0,248,severe
36,69,0,520,critical
32,65,0,358,severe
38,68,0,254,critical
40,63,0,324,critical
30,71,0,254,no
27,71,0,579,no
32,73,0,460,severe
30,62,0,499,no
25,58,0,421,no
28,70,0,524,mild
25,65,0,385,no
25,63,0,543,no
31,72,0,286,severe
29,69,0,492,mild
32,77,0,309,severe
33,72,0,459,severe
25,75,0,350,no
38,77,0,408,critical
27,67,0,533,no
34,66,0,443,severe
29,55,0,440,mild
40,76,0,461,critical
27,66,0,460,no
38,50,0,560,critical
30,68,0,394,no
32,66,0,320,severe
37,72,0,351,critical
38,56,0,375,critical
32,68,0,443,severe
33,73,0,259,severe
40,55,0,487,critical
35,68,0,489,severe
29,67,0,457,mild
37,63,0,302,critical
34,58,0,455,severe
25,78,0,319,no
31,72,0,207,severe
29,61,0,561,mild
28,74,0,527,mild
37,65,0,457,critical
34,58,0,240,severe
25,68,0,360,no
36,51,0,427,critical
37,78,0,284,critical
27,62,0,501,no
30,61,0,495,no
38,73,0,477,critical
34,54,0,491,severe
39,69,0,342,critical
37,67,0,527,critical
31,75,0,369,severe
28,52,0,402,mild
33,58,0,386,severe
35,63,0,213,severe
29,53,0,430,mild
27,63,0,363,no
35,51,0,275,severe
35,72,0,462,severe
36,62,0,476,critical
29,50,0,349,mild
40,51,0,478,critical
30,56,0,382,no
28,56,0,293,mild
36,51,0,332,critical
27,51,0,407,no
38,57,0,538,critical
33,67,0,253,severe
30,69,0,379,no
33,69,0,314,severe
33,60,0,496,severe
35,59,0,569,severe
39,75,0,463,critical
32,58,0,519,severe
39,69,0,522,critical
35,72,0,571,severe
29,61,0,242,mild
28,69,0,434,mild
29,75,0,315,mild
26,56,0,236,no
34,71,0,581,severe
25,52,0,294,no
28,73,0,209,mild
27,61,0,545,no
36,58,0,562,critical
37,76,0,471,critical
35,51,0,511,severe
28,67,0,542,mild
33,50,0,259,severe
39,68,0,598,critical
25,59,0,593,no
30,65,0,547,no
26,70,0,263,no
25,57,0,557,no
27,64,0,594,no
33,65,0,547,severe
25,64,0,558,no
26,77,0,524,no
29,73,0,592,mild
30,51,0,270,no
27,62,0,414,no
33,76,0,481,severe
37,76,0,472,critical
36,50,0,341,critical
37,69,0,411,critical
38,78,0,364,critical
40,74,0,529,critical
38,60,0,277,critical
33,72,0,532,severe
31,52,0,403,severe
25,50,0,505,no
36,70,0,497,critical
25,68,0,223,no
33,66,0,331,severe
38,77,0,259,critical
26,69,0,336,no
40,69,0,220,critical
33,73,0,433,severe
29,64,0,581,mild
31,73,0,469,severe
39,78,0,210,critical
30,75,0,317,no
37,78,0,203,critical
39,61,0,338,critical
35,58,0,378,severe
39,75,0,436,critical
25,52,0,258,no
35,59,0,512,severe
34,52,0,480,severe
30,65,0,531,no
29,66,0,553,mild
26,60,0,356,no
27,69,0,313,no
27,63,0,410,no
38,66,0,375,critical
34,55,0,340,severe
31,73,0,309,severe
38,78,0,351,critical
32,71,0,468,severe
40,66,0,374,critical
29,74,0,348,mild
29,78,0,247,mild
36,77,0,276,critical
34,75,0,237,severe
32,67,0,454,severe
39,68,0,403,critical
40,50,0,359,critical
39,78,0,444,critical
36,78,0,583,critical
33,77,0,252,severe
29,69,0,283,mild
35,77,0,210,severe
31,53,0,452,severe
32,53,0,370,severe
34,55,0,509,severe
40,73,0,313,critical
28,76,0,252,mild
32,66,0,400,severe
35,68,0,257,severe
40,67,0,321,critical
38,74,0,409,critical
25,52,0,320,no
40,76,0,560,critical
25,70,0,482,no
36,67,0,538,critical
30,77,0,341,no
34,57,0,531,severe
25,71,0,398,no
29,60,0,268,mild
35,77,0,432,severe
33,67,0,430,severe
33,72,0,354,severe
39,56,0,600,critical
30,75,0,251,no
31,70,0,418,severe
26,55,0,381,no
29,60,0,473,mild
29,66,0,554,mild
32,75,0,557,severe
29,77,0,398,mild
36,56,0,278,critical
38,74,0,362,critical
38,54,0,510,critical
39,65,0,221,critical
29,63,0,490,mild
29,67,0,326,mild
32,68,0,432,severe
37,62,0,531,critical
36,50,0,510,critical
25,67,0,562,no
27,54,0,310,no
25,53,0,266,no
36,77,0,485,critical
35,74,0,261,severe
33,59,0,541,severe
33,62,0,405,severe
27,74,0,281,no
38,67,0,444,critical
34,72,0,482,severe
28,55,0,473,mild
30,66,0,255,no
37,75,0,452,critical
29,56,0,206,mild
33,70,0,571,severe
30,65,0,383,no
27,69,0,261,no
33,61,0,329,severe
36,65,0,261,critical
31,68,0,237,severe
38,71,0,470,critical
33,70,0,338,severe
40,54,0,447,critical
37,61,0,498,critical
40,73,0,304,critical
32,73,0,275,severe
26,52,0,384,no
29,64,0,554,mild
25,64,0,271,no
40,69,0,252,critical
34,61,0,262,severe
37,55,0,449,critical
32,72,0,256,severe
29,78,0,455,mild
32,55,0,562,severe
32,51,0,543,severe
39,67,0,322,critical
32,75,0,220,severe
29,52,0,233,mild
26,58,0,326,no
28,70,0,445,mild
34,57,0,475,severe
34,56,0,439,severe
40,76,0,495,critical
28,69,0,211,mild
29,61,0,382,mild
28,51,0,223,mild
29,53,0,287,mild
39,55,0,590,critical
33,51,0,203,severe
40,66,0,302,critical
32,70,0,424,severe
29,52,0,488,mild
28,60,0,269,mild
31,66,0,373,severe
33,70,0,276,severe
40,59,0,549,critical
38,70,0,214,critical
39,74,0,463,critical
37,54,0,244,critical
32,56,0,499,severe
38,72,0,503,critical
29,65,0,562,mild
25,71,0,202,no
31,65,0,321,severe
34,73,0,201,severe
29,55,0,559,mild
33,74,0,342,severe
26,59,0,550,no
37,55,0,285,critical
39,58,0,327,critical
34,73,0,570,severe
33,60,0,530,severe
39,70,0,403,critical
32,74,0,275,severe
32,73,0,417,severe
40,66,0,492,critical
27,77,0,276,no
26,59,0,575,no
27,60,0,320,no
39,78,0,555,critical
38,61,0,334,critical
25,67,0,344,no
36,71,0,497,critical
28,70,0,558,mild
26,73,0,542,no
26,55,0,344,no
31,73,0,266,severe
25,52,0,522,no
36,55,0,568,critical
27,68,0,443,no
33,71,0,258,severe
37,78,0,418,critical
29,71,0,282,mild
36,69,0,543,critical
37,64,0,363,critical
35,53,0,303,severe
32,66,0,594,severe
25,77,0,370,no
37,55,0,536,critical
28,52,0,449,mild
35,69,0,473,severe
30,69,0,301,no
25,56,0,578,no
30,69,0,277,no
39,59,0,375,critical
29,58,0,510,mild
27,53,0,443,no
32,60,0,401,severe
28,74,0,208,mild
35,66,0,203,severe
35,62,0,479,severe
27,73,0,347,no
35,59,0,599,severe
27,50,0,337,no
34,58,0,491,severe
33,71,0,443,severe
30,73,0,329,no
32,61,0,480,severe
39,70,0,497,critical
34,54,0,593,severe
30,73,0,313,no
33,76,0,453,severe
37,52,0,367,critical
34,64,0,267,severe
36,56,0,376,critical
39,73,0,326,critical
26,70,0,330,no
39,73,0,496,critical
29,67,0,597,mild
25,67,0,388,no
32,71,0,306,severe
25,73,0,452,no
33,56,0,347,severe
29,50,0,290,mild
29,52,0,571,mild
33,75,0,563,severe
33,54,0,585,severe
36,74,0,582,critical
28,75,0,498,mild
31,52,0,505,severe
32,65,0,297,severe
33,65,0,477,severe
40,64,0,202,critical
37,72,0,455,critical
38,65,0,270,critical
27,65,0,433,no
37,61,0,580,critical
28,75,0,489,mild
39,61,0,298,critical
39,74,0,506,critical
33,54,0,238,severe
34,52,0,359,severe
25,72,0,572,no
30,78,0,311,no
28,70,0,255,mild
39,55,0,239,critical
27,52,0,224,no
33,77,0,516,severe
39,59,0,228,critical
39,59,0,556,critical
31,60,0,372,severe
30,58,0,244,no
35,73,0,354,severe
27,58,0,498,no
28,62,0,536,mild
27,70,0,570,no
34,59,0,257,severe
26,54,0,237,no
37,77,0,316,critical
27,71,0,246,no
27,64,0,225,no
34,66,0,344,severe
30,68,0,288,no
32,52,0,466,severe
31,77,0,545,severe
26,78,0,449,no
34,78,0,256,severe
30,60,0,297,no
38,73,0,532,critical
37,57,0,434,critical
37,69,0,328,critical
25,52,0,454,no
33,76,0,487,severe
31,76,0,313,severe
33,77,0,241,severe
37,75,0,359,critical
31,71,0,496,severe
35,75,0,257,severe
38,59,0,442,critical
30,77,0,336,no
29,60,0,556,mild
40,52,0,274,critical
37,75,0,548,critical
35,65,0,514,severe
31,73,0,519,severe
29,75,0,477,mild
26,63,0,278,no
38,57,0,368,critical
36,65,0,289,critical
33,52,0,558,severe
29,59,0,423,mild
32,71,0,337,severe
29,57,0,421,mild
25,77,0,412,no
32,66,0,533,severe
25,52,0,361,no
40,60,0,382,critical
25,62,0,306,no
25,70,0,381,no
27,74,0,445,no
35,65,0,435,severe
34,63,0,232,severe
26,55,0,238,no
37,56,0,206,critical
33,67,0,273,severe
38,57,0,373,critical
26,77,0,473,no
28,67,0,400,mild
33,66,0,493,severe
36,67,0,214,critical
30,70,0,478,no
29,75,0,439,mild
25,78,0,333,no
39,63,0,414,critical
36,60,0,383,critical
29,51,0,306,mild
28,50,0,595,mild
39,68,0,576,critical
27,73,0,301,no
31,55,0,305,severe
29,52,0,236,mild
33,70,0,600,severe
35,76,0,504,severe
35,54,0,591,severe
35,50,0,475,severe
33,73,0,558,severe
38,60,0,396,critical
40,53,0,419,critical
28,68,0,406,mild
27,71,0,211,no
32,50,0,355,severe
31,70,0,301,severe
36,53,0,464,critical
38,76,0,338,critical
33,78,0,383,severe
33,77,0,471,severe
36,53,0,491,critical
31,76,0,285,severe
35,58,0,272,severe
34,59,0,270,severe
34,51,0,585,severe
38,60,0,379,critical
40,50,0,518,critical
33,51,0,595,severe
33,75,0,511,severe
39,53,0,590,critical
39,61,0,305,critical
37,78,0,480,critical
35,60,0,505,severe
33,77,0,305,severe
28,72,0,502,mild
25,78,0,362,no
40,67,0,480,critical
39,50,0,402,critical
37,68,0,499,critical
29,57,0,413,mild
31,73,0,419,severe
36,54,0,394,critical
37,52,0,447,critical
31,71,0,219,severe
26,54,0,397,no
39,63,0,561,critical
26,63,0,478,no
29,56,0,557,mild
35,71,0,352,severe
39,61,0,498,critical
34,69,0,459,severe
39,59,0,592,critical
37,72,0,261,critical
35,63,0,473,severe
26,60,0,320,no
26,58,0,526,no
31,59,0,494,severe
33,71,0,401,severe
37,61,0,525,critical
33,55,0,500,severe
37,66,0,499,critical
27,65,0,594,no
40,60,0,456,critical
30,68,0,204,no
32,66,0,244,severe
39,60,0,208,critical
33,71,0,318,severe
27,73,0,270,no
38,68,0,366,critical
25,78,0,516,no
27,63,0,555,no
35,52,0,393,severe
36,62,0,396,critical
36,73,0,277,critical
38,59,0,393,critical
37,75,0,416,critical
26,53,0,340,no
38,65,0,380,critical
26,59,0,278,no
25,56,0,480,no
28,77,0,225,mild
25,65,0,423,no
31,74,0,386,severe
25,64,0,589,no
40,54,0,502,critical
25,72,0,566,no
40,53,0,475,critical
31,77,0,306,severe
26,61,0,552,no
38,64,0,581,critical
39,72,0,275,critical
29,62,0,368,mild
33,59,0,583,severe
35,76,0,304,severe
39,58,0,371,critical
33,62,0,519,severe
31,56,0,267,severe
26,66,0,440,no
28,67,0,437,mild
40,57,0,259,critical
33,78,0,347,severe
28,59,0,301,mild
38,78,0,269,critical
39,73,0,274,critical
40,76,0,551,critical
31,53,0,337,severe
27,66,0,321,no
39,71,0,485,critical
31,55,0,413,severe
25,69,0,570,no
35,66,0,257,severe
25,78,0,201,no
26,71,0,565,no
25,75,0,559,no
34,59,0,248,severe
28,56,0,284,mild
26,76,0,407,no
28,65,0,212,mild
38,62,0,493,critical
28,78,0,327,mild
34,69,0,209,severe
26,51,0,329,no
31,70,0,231,severe
25,73,0,412,no
36,67,0,481,critical
30,67,0,480,no
27,65,0,369,no
40,66,0,542,critical
39,65,0,357,critical
27,77,0,490,no
25,77,0,510,no
37,77,0,514,critical
35,54,0,336,severe
28,66,0,594,mild
25,61,0,517,no
35,58,0,485,severe
25,69,0,344,no
29,57,0,389,mild
32,56,0,273,severe
28,68,0,352,mild
37,71,0,501,critical
38,61,0,395,critical
35,68,0,518,severe
38,60,0,239,critical
35,70,0,294,severe
37,72,0,380,critical
27,62,0,534,no
39,65,0,223,critical
36,51,0,210,critical
31,63,0,561,severe
28,67,0,276,mild
31,53,0,341,severe
29,50,0,294,mild
31,76,0,390,severe
29,58,0,277,mild
31,73,0,218,severe
26,67,0,376,no
28,60,0,249,mild
32,60,0,279,severe
36,62,0,573,critical
37,56,0,560,critical
35,66,0,367,severe
25,73,0,398,no
26,70,0,388,no
40,67,0,306,critical
32,53,0,251,severe
40,75,0,367,critical
34,72,0,382,severe
26,60,0,335,no
25,73,0,418,no
36,61,0,422,critical
35,63,0,375,severe
31,60,0,418,severe
37,67,0,595,critical
27,73,0,282,no
25,51,0,426,no
36,77,0,347,critical
32,55,0,575,severe
25,78,0,238,no
33,62,0,435,severe
28,70,0,350,mild
32,61,0,530,severe
26,60,0,553,no
28,56,0,268,mild
36,56,0,249,critical
35,62,0,235,severe
25,69,0,524,no
34,55,0,502,severe
28,51,0,265,mild
36,77,0,331,critical
35,66,0,538,severe
35,78,0,342,severe
40,71,0,352,critical
26,60,0,315,no
30,73,0,448,no
32,73,0,411,severe
29,63,0,365,mild
28,54,0,538,mild
27,53,0,223,no
28,53,0,542,mild
34,77,0,208,severe
28,69,0,485,mild
36,71,0,500,critical
36,54,0,206,critical
35,62,0,213,severe
29,66,0,475,mild
31,75,0,360,severe
30,51,0,213,no
37,65,0,227,critical
38,75,0,285,critical
28,55,0,202,mild
28,63,0,486,mild
39,57,0,565,critical
38,77,0,234,critical
39,55,0,516,critical
29,53,0,500,mild
32,76,0,472,severe
28,68,0,417,mild
38,65,0,242,critical
25,71,0,473,no
26,67,0,245,no
32,57,0,331,severe
31,55,0,293,severe
32,58,0,390,severe
30,76,0,535,no
28,66,0,295,mild
27,56,0,232,no
29,61,0,482,mild
25,59,0,274,no
31,75,0,450,severe
26,68,0,461,no
26,57,0,506,no
38,60,0,314,critical
40,52,0,568,critical
30,76,0,407,no
30,65,0,366,no
33,74,0,545,severe
29,74,0,393,mild
32,66,0,354,severe
32,56,0,573,severe
26,69,0,528,no
25,76,0,419,no
38,58,0,533,critical
30,63,0,388,no
31,73,0,535,severe
36,56,0,593,critical
26,69,0,534,no
28,66,0,237,mild
25,66,0,413,no
32,57,0,293,severe
39,58,0,537,critical
40,72,0,257,critical
26,69,0,497,no
29,68,0,361,mild
38,72,0,203,critical
31,59,0,535,severe
35,50,0,248,severe
37,68,0,367,critical
25,65,0,424,no
30,73,0,420,no
38,50,0,468,critical
35,55,0,240,severe
25,66,0,586,no
33,57,0,463,severe
32,64,0,379,severe
39,66,0,341,critical
27,54,0,246,no
26,64,0,433,no
25,75,0,454,no
39,65,0,523,critical
30,61,0,445,no
39,67,0,486,critical
31,54,0,279,severe
34,56,0,258,severe
39,58,0,254,critical
28,75,0,463,mild
26,69,0,267,no
27,64,0,551,no
40,50,0,449,critical
38,75,0,432,critical
40,53,0,238,critical
35,62,0,536,severe
29,62,0,547,mild
39,64,0,433,critical
25,68,0,203,no
37,61,0,214,critical
35,56,0,518,severe
25,70,0,373,no
32,77,0,570,severe
35,62,0,309,severe
27,77,0,382,no
28,59,0,483,mild
35,69,0,599,severe
37,65,0,393,critical
35,74,0,358,severe
29,55,0,566,mild
38,78,0,245,critical
29,54,0,453,mild
30,70,0,497,no
26,75,0,494,no
35,71,0,432,severe
28,55,0,350,mild
27,70,0,235,no
38,71,0,477,critical
25,69,0,390,no
40,64,0,503,critical
28,69,0,505,mild
40,67,0,543,critical
37,71,0,455,critical
32,70,0,517,severe
39,67,0,266,critical
34,73,0,585,severe
40,74,0,288,critical
29,58,0,510,mild
40,73,0,351,critical
28,78,0,436,mild
25,70,0,561,no
39,53,0,438,critical
35,76,0,211,severe
26,73,0,516,no
28,61,0,316,mild
26,54,0,349,no
36,74,0,247,critical
37,71,0,285,critical
39,60,0,376,critical
38,64,0,322,critical
33,65,0,478,severe
27,70,0,477,no
27,67,0,217,no
37,64,0,327,critical
33,66,0,470,severe
26,78,0,418,no
29,67,0,318,mild
36,69,0,215,critical
40,75,0,267,critical
28,61,0,432,mild
25,53,0,410,no
40,68,0,384,critical
34,52,0,220,severe
29,64,0,322,mild
37,56,0,210,critical
27,50,0,235,no
36,59,0,451,critical
34,67,0,389,severe
25,76,0,503,no
38,57,0,338,critical
28,51,0,239,mild
32,55,0,505,severe
28,55,0,397,mild
26,74,0,570,no
36,62,0,313,critical
37,57,0,485,critical
34,75,0,558,severe
27,65,0,298,no
28,54,0,298,mild
30,65,0,421,no
32,52,0,294,severe
35,72,0,405,severe
33,50,0,280,severe
34,69,0,362,severe
29,72,0,415,mild
25,64,0,276,no
40,68,0,353,critical
39,68,0,297,critical
31,56,0,304,severe
39,54,0,499,critical
33,50,0,479,severe
38,77,0,437,critical
33,76,0,466,severe
34,66,0,392,severe
40,61,0,454,critical
39,57,0,201,critical
27,50,0,396,no
28,54,0,568,mild
33,50,0,352,severe
32,58,0,452,severe
31,67,0,312,severe
25,70,0,445,no
26,77,0,468,no
31,69,0,285,severe
25,76,0,428,no
37,60,0,499,critical
40,59,0,329,critical
27,51,0,497,no
32,76,0,498,severe
26,68,0,264,no
39,54,0,510,critical
34,62,0,453,severe
29,76,0,585,mild
39,57,0,411,critical
40,66,0,283,critical
27,65,0,564,no
38,72,0,495,critical
37,51,0,527,critical
31,63,0,574,severe
26,76,0,370,no
26,53,0,406,no
35,50,0,441,severe
35,50,0,493,severe
32,60,0,439,severe
28,66,0,253,mild
32,62,0,235,severe
26,57,0,387,no
37,67,0,246,critical
40,63,0,453,critical
26,63,0,367,no
39,69,0,456,critical
28,59,0,469,mild
31,57,0,460,severe
31,63,0,329,severe
37,52,0,300,critical
27,61,0,389,no
26,76,0,350,no
34,56,0,385,severe
26,75,0,431,no
27,62,0,539,no
31,52,0,527,severe
33,56,0,345,severe
36,51,0,583,critical
30,64,0,290,no
25,76,0,395,no
25,65,0,375,no
28,75,0,265,mild
25,77,0,483,no
39,78,0,318,critical
30,60,0,402,no
35,73,0,304,severe
31,67,0,280,severe
34,73,0,442,severe
32,51,0,245,severe
33,74,0,461,severe
40,75,0,239,critical
29,74,0,257,mild
39,57,0,257,critical
26,71,0,458,no
37,70,0,283,critical
29,50,0,247,mild
38,50,0,200,critical
38,52,0,262,critical
25,62,0,546,no
35,72,0,201,severe
25,63,0,280,no
27,72,0,466,no
36,62,0,296,critical
32,53,0,289,severe
28,64,0,282,mild
33,65,0,598,severe
27,56,0,595,no
28,73,0,566,mild
28,72,0,366,mild
31,69,0,416,severe
33,77,0,570,severe
38,50,0,496,critical
26,66,0,401,no
38,61,0,563,critical
31,56,0,311,severe
35,67,0,209,severe
35,54,0,509,severe
40,75,0,347,critical
35,66,0,524,severe
35,63,0,558,severe
27,65,0,428,no
35,68,0,449,severe
34,60,0,506,severe
30,54,0,465,no
27,70,0,268,no
31,50,0,332,severe
40,75,0,491,critical
29,64,0,247,mild
32,64,0,339,severe
38,53,0,352,critical
30,59,0,374,no
31,52,0,599,severe
33,70,0,502,severe
27,69,0,351,no
38,60,0,483,critical
32,72,0,524,severe
39,62,0,330,critical
32,63,0,411,severe
40,65,0,331,critical
26,68,0,386,no
36,72,0,408,critical
35,61,0,472,severe
30,50,0,226,no
33,57,0,520,severe
35,58,0,231,severe
31,73,0,569,severe
32,72,0,468,severe
37,68,0,312,critical
39,68,0,468,critical
37,76,0,480,critical
26,62,0,212,no
40,53,0,425,critical
34,69,0,340,severe
39,68,0,292,critical
36,74,0,321,critical
33,58,0,544,severe
36,75,0,453,critical
28,55,0,488,mild
31,51,0,390,severe
29,55,0,490,mild
29,50,0,319,mild
30,53,0,516,no
39,70,0,366,critical
29,51,0,267,mild
29,61,0,328,mild
31,78,0,490,severe
38,72,0,217,critical
29,63,0,563,mild
38,61,0,348,critical
37,55,0,253,critical
28,64,0,439,mild
35,75,0,237,severe
29,60,0,294,mild
27,73,0,526,no
35,76,0,587,severe
36,62,0,595,critical
25,70,0,515,no
39,51,0,508,critical
32,57,0,248,severe
40,50,0,353,critical
31,60,0,559,severe
26,64,0,470,no
30,58,0,348,no
38,77,0,430,critical
39,70,0,292,critical
25,64,0,452,no
35,53,0,382,severe
28,72,0,356,mild
36,78,0,335,critical
35,55,0,575,severe
31,71,0,541,severe
31,61,0,582,severe
38,69,0,238,critical
36,57,0,263,critical
28,59,0,362,mild
38,63,0,337,critical
25,76,0,471,no
37,72,0,599,critical
32,53,0,303,severe
40,62,0,553,critical
27,50,0,444,no
37,67,0,214,critical
28,50,0,553,mild
27,53,0,410,no
30,50,0,598,no
39,50,0,336,critical
29,58,0,387,mild
36,51,0,399,critical
26,60,0,221,no
32,54,0,324,severe
28,77,0,231,mild
26,77,0,417,no
38,68,0,480,critical
27,72,0,568,no
33,57,0,235,severe
31,64,0,430,severe
29,75,0,561,mild
30,69,0,383,no
26,54,0,352,no
35,67,0,541,severe
30,62,0,473,no
39,51,0,460,critical
31,57,0,285,severe
25,59,0,255,no
29,71,0,449,mild
33,72,0,255,severe
33,55,0,371,severe
30,60,0,559,no
37,76,0,383,critical
27,75,0,283,no
35,61,0,564,severe
34,50,0,522,severe
33,69,0,408,severe
30,53,0,320,no
36,64,0,293,critical
37,51,0,580,critical
39,52,0,518,critical
33,63,0,362,severe
35,67,0,280,severe
25,62,0,403,no
27,78,0,571,no
35,57,0,488,severe
28,76,0,294,mild
38,67,0,567,critical
29,75,0,321,mild
29,76,0,213,mild
37,62,0,218,critical
29,71,0,433,mild
35,58,0,540,severe
31,63,0,205,severe
40,61,0,405,critical
34,67,0,343,severe
27,58,0,262,no
27,54,0,505,no
39,58,0,245,critical
26,60,0,584,no
35,58,0,263,severe
30,53,0,396,no
36,52,0,587,critical
33,68,0,204,severe
30,64,0,339,no
